Cand_Name,Cand_Party_Affiliation,Cand_Incumbent_Challenger_Open_Seat,Total_Receipt,Total_Disbursement,Cash_On_Hand_COP,Debt_Owed_By_Committee,Coverage_End_Date,Cand_Street_1,Cand_Street_2,Cand_City,Cand_State,Cand_Zip,Individual_Itemized_Contribution,Individual_Unitemized_Contribution,Individual_Contribution,Other_Committee_Contribution,Party_Committee_Contribution,Cand_Contribution,Total_Contribution,Transfer_From_Other_Auth_Committee,Cand_Loan,Other_Loan,Total_Loan,Offsets_To_Operating_Expenditure,Offsets_To_Fundraising,Offsets_To_Leagal_Accounting,Other_Receipts,Operating_Expenditure,Exempt_Legal_Accounting_Disbursement,Fundraising_Disbursement,Transfer_To_Other_Auth_Committee,Cand_Loan_Repayment,Other_Loan_Repayment,Total_Loan_Repayment,Individual_Refund,Party_Committee_Refund,Other_Committee_Refund,Total_Contribution_Refund,Other_Disbursements,Net_Contribution,Net_Operating_Expenditure,Cash_On_Hand_BOP,Debt_Owe_To_Committee,Coverage_Start_Date
"CLATTERBUCK, THOMAS",REP,CHALLENGER,45595.81,42938.72,0.0,0.0,04/04/2024,610 S 4TH ST,APT 1,CHAMPAIGN,IL,61820,1095.24,0.0,1095.24,0.0,0.0,44500.57,45595.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42938.72,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45595.81,42938.72,0.0,0.0,07/01/2023
"HOGAN, LARRY",REP,OPEN,10943516.09,9324221.52,1619294.57,424815.34,10/16/2024,2077 SOMERVILLE ROAD,SUITE 206,ANNAPOLIS,MD,21401,4320018.93,1169966.35,5489985.28,576274.34,52800.0,0.0,6119059.62,4824456.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9305591.52,0,0.0,0.0,0.0,0.0,0.0,18630.0,0.0,0.0,18630.0,0.0,6100429.62,9305591.52,0.0,0.0,01/01/2024
"HACH, GREGORY",REP,OPEN,779218.09,769995.02,9223.07,210000.0,09/30/2024,338 JERICHO PKWY.,#212,SYOSSET,NY,11791,97185.78,2032.31,99218.09,5000.0,0.0,0.0,104218.09,0.0,675000.0,0.0,675000.0,0.0,0.0,0.0,0.0,292924.32,0,0.0,0.0,465000.0,0.0,465000.0,12070.7,0.0,0.0,12070.7,0.0,92147.39,292924.32,0.0,0.0,07/01/2023
"JACQUE, ANDRE",REP,OPEN,264387.58,264353.38,34.2,16000.0,09/30/2024,1794 ALLOUEZ AVE,BOX 171,GREEN BAY,WI,54311,182187.25,32594.63,214781.88,33300.0,0.0,0.0,248081.88,0.0,16000.0,0.0,16000.0,305.7,0.0,0.0,0.0,262918.38,0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,1000.0,1025.0,410.0,247056.88,262612.68,0.0,0.0,01/01/2024
"PELOSI, NANCY",DEM,INCUMBENT,8710648.59,9906086.22,2398291.13,0.0,10/16/2024,235 MONTGOMERY STREET,SUITE 970,SAN FRANCISCO,CA,94104,3775981.91,4328875.62,8104857.53,229518.53,130.94,0.0,8334507.0,362887.59,0.0,0.0,0.0,1254.0,0.0,0.0,12000.0,6341160.98,0,0.0,0.0,0.0,0.0,0.0,181486.99,0.0,0.0,181486.99,3383438.25,8153020.01,6339906.98,3593728.76,0.0,01/01/2023
"RATEVOSIAN, JIRAIR",DEM,OPEN,312654.27,312654.27,0.0,0.0,03/27/2024,321 N. PASS AVE.,BOX 133,BURBANK,CA,91505,244707.06,43555.1,288262.16,3000.0,0.0,21392.11,312654.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300001.27,0,0.0,0.0,0.0,0.0,0.0,10243.0,0.0,0.0,10243.0,2410.0,302411.27,300001.27,0.0,0.0,05/25/2023
"POUND, PERRY",DEM,OPEN,34129.01,34128.89,0.0,32025.0,09/30/2024,2711 SEPULVEDA BOULEVARD,UNIT 519,MANHATTAN BEACH,CA,90266,33100.0,1029.0,34129.0,0.0,0.0,0.0,34129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,33747.39,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381.5,34129.0,33747.39,0.0,0.0,01/01/2023
"CAMPBELL, STANLEY",DEM,CHALLENGER,1509617.41,1391650.16,118434.38,1401000.0,09/30/2024,5944 CORAL RIDGE DRIVE,SUITE 601,CORAL SPRINGS,FL,33076,70030.05,38587.36,108617.41,0.0,0.0,0.0,108617.41,0.0,1401000.0,0.0,1401000.0,0.0,0.0,0.0,0.0,1391650.16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108617.41,1391650.16,0.0,0.0,10/01/2023
"STUCKENBERG, DAVID JAMES",REP,CHALLENGER,41102.0,0.0,41102.0,154090.05,10/31/2024,301 W PLATT STREET,#A,TAMPA,FL,33606,38750.0,2352.0,41102.0,0.0,0.0,0.0,41102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452122.0,0.0,0.0,0.0,10/01/2023
"SMUCKER, LLOYD K.",REP,INCUMBENT,1748043.98,1322114.9,1305752.73,0.0,10/16/2024,248 STEEL WAY,PO BOX 7066,LANCASTER,PA,17601,271041.39,27476.38,298517.77,1010980.94,74.1,0.0,1309572.81,345241.99,0.0,0.0,0.0,51254.87,0.0,0.0,41974.31,756193.3,0,0.0,0.0,0.0,0.0,0.0,3800.0,0.0,1000.0,4800.0,561121.6,1304772.81,704938.43,879823.65,0.0,01/01/2023
"KIM, HEERAK CHRISTIAN DR.",REP,CHALLENGER,550.0,3030.03,572.77,0.0,09/30/2024,5111 8TH ROAD SOUTH,APT. 402,ARLINGTON,VA,22204,0.0,550.0,550.0,0.0,0.0,0.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3030.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,3030.03,3052.8,0.0,01/01/2023
"GRAYSON, ALAN MARK",DEM,CHALLENGER,777724.66,664776.76,116986.33,3733183.09,09/30/2024,870 N MIRAMAR AVE,BOX 242,INDIALANTIC,FL,329033054,105687.98,189869.71,295557.69,0.0,0.0,0.0,295557.69,0.0,482166.48,0.0,482166.48,0.0,0.0,0.0,0.49,619736.76,0,0.0,0.0,44500.0,0.0,44500.0,540.0,0.0,0.0,540.0,0.0,295017.69,619736.76,383.33,0.0,01/01/2023
"LAMB, MARK",REP,OPEN,2189699.7,2170794.47,18905.23,38631.6,09/30/2024,530 E MCDOWELL RD #107,BLDG 274,PHOENIX,AZ,85004,1145501.66,1030704.1,2176205.76,8334.21,0.0,5000.0,2189539.97,0.0,0.0,0.0,0.0,159.73,0.0,0.0,0.0,2016966.45,0,0.0,0.0,0.0,0.0,0.0,146293.81,0.0,7034.21,153328.02,500.0,2036211.95,2016806.72,0.0,0.0,04/01/2023
"YOUNG, JARED",IND,CHALLENGER,958878.45,890234.97,68643.48,765000.0,10/16/2024,6031 N MAIN,#393,WEBB CITY,MO,64870,171122.64,15255.81,186378.45,7500.0,0.0,0.0,193878.45,0.0,765000.0,0.0,765000.0,0.0,0.0,0.0,0.0,890234.97,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193878.45,890234.97,0.0,0.0,07/01/2023
"GRANGER, KAY",REP,INCUMBENT,1080369.82,1208659.79,188874.28,0.0,10/16/2024,1701 RIVER RUN,STE 308,FORT WORTH,TX,761076547,288932.8,2160.0,291092.8,507116.0,0.0,0.0,798208.8,279661.01,0.0,0.0,0.0,2500.0,0.0,0.0,0.01,938359.79,0,0.0,0.0,0.0,0.0,0.0,56300.0,0.0,46500.0,102800.0,167500.0,695408.8,935859.79,317164.25,0.0,01/01/2023
"PALMER, JASON MICHAEL MR.",DEM,CHALLENGER,953373.39,953373.39,0.0,688710.0,10/31/2024,711 W 40TH STREET,SUITE 153 UNIT 345,BALTIMORE,MD,21212,49820.0,7383.0,57202.75,0.0,0.0,199700.0,256902.75,0.0,686710.0,0.0,686710.0,6095.0,0.0,0.0,3665.64,944992.9,0,3886.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4493.85,1870268.0,8552425.48,0.0,0.0,10/01/2023
"SPALDING, CARLA ARLENE",REP,CHALLENGER,742967.34,738160.73,17726.4,73442.82,09/30/2024,265 SOUTH FEDERAL HIGHWAY,PMB 193,DEERFIELD BEACH,FL,33441,272411.14,446398.26,718809.4,0.0,0.0,0.0,718809.4,0.0,0.0,0.0,0.0,5380.48,0.0,0.0,18777.46,722229.73,0,0.0,5180.0,0.0,0.0,0.0,10751.0,0.0,0.0,10751.0,0.0,708058.4,716849.25,12919.79,0.0,01/01/2023
"STANTON, GREG",DEM,INCUMBENT,2643008.2,1558906.05,1117444.04,0.0,10/16/2024,4340 E INDIAN SCHOOL ROAD,SUITE 21-518,PHOENIX,AZ,85018,1754037.37,119846.84,1873884.21,739373.74,0.0,0.0,2613257.95,5180.0,0.0,0.0,0.0,24570.25,0.0,0.0,0.0,1101148.72,0,0.0,0.0,0.0,0.0,0.0,2757.33,0.0,0.0,2757.33,455000.0,2610500.62,1076578.47,33341.89,0.0,01/01/2023
"ROLLINS, WILL",DEM,CHALLENGER,11510838.87,9280266.16,2275505.08,0.0,10/16/2024,PO BOX 6282,414 W GRAND BLVD,CORONA,CA,92878,6445993.16,2695794.93,9141788.09,724079.89,7461.92,0.0,9873329.9,1622595.37,0.0,0.0,0.0,14913.57,0.0,0.0,0.03,9154751.3,0,0.0,0.0,0.0,0.0,0.0,119275.7,0.0,5350.0,124625.7,889.16,9748704.2,9139837.73,44932.37,0.0,01/01/2023
"GARCIA, ROBERT",DEM,INCUMBENT,1260696.82,1156524.9,434734.01,0.0,10/16/2024,65 PINE AVE.,#348,LONG BEACH,CA,90802,607266.16,265158.8,872424.96,350100.0,0.0,280.45,1222805.41,20782.31,0.0,0.0,0.0,17109.1,0.0,0.0,0.0,822165.88,0,0.0,0.0,0.0,0.0,0.0,4823.02,0.0,3000.0,7823.02,326536.0,1214982.39,805056.78,330562.09,0.0,01/01/2023
"CHAPPELLE-NADAL, MARIA MS.",DEM,CHALLENGER,19065.0,17931.68,1133.32,14214.95,09/30/2024,7133 DARTMOUTH AVENUE,1ST FLOOR,UNIVERSITY CITY,MO,63130,16500.0,2565.0,19065.0,0.0,0.0,0.0,19065.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17931.68,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19065.0,17931.68,0.0,0.0,01/01/2024
"KREGLER, WILLIAM",REP,CHALLENGER,29572.55,18222.27,11350.28,1127.59,11/15/2024,3925 61ST STREET,#771061,WOODSIDE,NY,11377,20547.51,7897.45,28444.96,0.0,0.0,0.0,28444.96,0.0,1127.59,0.0,1127.59,0.0,0.0,0.0,0.0,15722.27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,28444.96,15722.27,0.0,0.0,12/11/2023
"ANTONELLIS, ROBERT JOSEPH",REP,CHALLENGER,41254.47,41376.3,-121.83,55613.57,09/30/2024,165 MIDDLESEX AVE,#1132,SOMERVILLE,MA,2145,13680.19,5262.58,18942.77,200.0,191.7,8000.0,27334.47,0.0,13500.0,0.0,13500.0,0.0,0.0,0.0,420.0,41376.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27334.47,41376.3,0.0,0.0,04/01/2023
"SYKES, EMILIA",DEM,INCUMBENT,10529957.02,9561424.77,1082832.54,0.0,10/16/2024,109 N HOWARD ST,UNIT A,AKRON,OH,44308,5668783.44,1525966.48,7194749.92,2754723.54,18960.16,0.0,9968433.62,551794.29,0.0,0.0,0.0,9729.11,0.0,0.0,0.0,9245855.97,0,0.0,0.0,0.0,0.0,0.0,81438.47,0.0,16984.34,98422.81,217145.99,9870010.81,9236126.86,114300.29,0.0,01/01/2023
"SARBANES, JOHN P. MR.",DEM,INCUMBENT,28581.56,149173.86,362549.32,0.0,09/30/2024,"499 S. CAPITOL STREET, SW",SUITE 420,WASHINGTON,DC,20003,13470.0,2508.74,15978.74,10000.0,0.0,0.0,25978.74,0.0,0.0,0.0,0.0,2602.82,0.0,0.0,0.0,131512.86,0,0.0,0.0,0.0,0.0,0.0,5111.0,0.0,5000.0,10111.0,7550.0,15867.74,128910.04,483141.62,0.0,01/01/2023
"ABBITT, DAVE",DEM,CHALLENGER,2240.0,0.0,2240.0,0.0,12/31/2023,13636 VENTURA BLVD.,#509,SHERMAN OAKS,CA,91423,2240.0,0.0,2240.0,0.0,0.0,0.0,2240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2240.0,0.0,0.0,0.0,01/01/2023
"NORBER, DANIEL",REP,OPEN,489543.12,489543.12,0.0,0.0,06/13/2024,1129 NORTHERN BLVD,SUITE #404,MANHASSET,NY,11030,79154.22,251099.59,330253.81,0.0,0.0,205.0,330458.81,0.0,150000.0,0.0,150000.0,9084.31,0.0,0.0,0.0,382953.41,0,0.0,0.0,104589.71,0.0,104589.71,0.0,0.0,0.0,0.0,2000.0,330458.81,373869.1,0.0,0.0,07/01/2023
"ISSA, ALLEN",REP,CHALLENGER,24090.0,24090.0,0.0,0.0,02/29/2024,526 N ST CLOUD ST,#717,ALLENTOWN,PA,18104,22375.0,1715.0,24090.0,0.0,0.0,0.0,24090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14704.25,0,0.0,0.0,0.0,0.0,0.0,9385.75,0.0,0.0,9385.75,0.0,14704.25,14704.25,0.0,0.0,10/01/2023
"HENSEL, BENTLEY FOSTER",IND,CHALLENGER,17453.56,17665.13,38.43,14679.56,09/30/2024,2776 S ARLINGTON MILL DR,SUITE 522,ARLINGTON,VA,22206,100.0,100.0,200.0,0.0,0.0,2824.0,3024.0,0.0,14429.56,0.0,14429.56,0.0,0.0,0.0,0.0,17665.13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3024.0,17665.13,250.0,0.0,04/01/2024
"SINGLETON, PHILLIP",REP,OPEN,178393.8,176758.28,1635.52,0.0,09/30/2024,15 PERRY STREET,STE 461,NEWNAN,GA,30263,135057.94,3504.2,138562.14,29186.09,0.0,1595.7,169343.93,0.0,0.0,0.0,0.0,9049.87,0.0,0.0,0.0,143938.28,0,0.0,0.0,0.0,0.0,0.0,23600.0,0.0,3700.0,27300.0,5520.0,142043.93,134888.41,0.0,0.0,01/01/2024
"WASHINGTON, JOHN III",DEM,CHALLENGER,200.0,0.0,200.0,0.0,03/31/2023,3919 PERRIN CENTRAL BLVD,811,SAN ANTONIO,TX,78217,0.0,200.0,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,01/01/2023
"TRAHAN, CHANCE BRADFORD MR",NON,CHALLENGER,2113.0,2113.0,0.0,0.0,07/24/2023,1278 GLENNEYRE,588,LAGUNA BEACH,CA,92651,2113.0,0.0,2113.0,0.0,0.0,0.0,2113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2113.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123514.34,125359.34,0.0,0.0,01/01/2023
"TEMPLETON, CATHERINE",REP,CHALLENGER,743956.94,743956.94,0.0,0.0,09/30/2024,1050 JOHNNIE DODDS BOULEVARD,#1247,MOUNT PLEASANT,SC,29465,676839.17,20988.95,697828.12,19000.0,0.0,27100.0,743928.12,0.0,0.0,0.0,0.0,28.82,0.0,0.0,0.0,671159.95,0,0.0,0.0,0.0,0.0,0.0,61816.99,0.0,5000.0,66816.99,5980.0,677111.13,671131.13,0.0,0.0,01/01/2024
"BOWERS, RHETTA",DEM,OPEN,24629.81,982.88,23646.93,0.0,09/30/2023,3526 LAKEVIEW PARKWAY,BOX 203,ROWLETT,TX,75088,15650.0,8979.81,24629.81,0.0,0.0,0.0,24629.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,982.88,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24629.81,982.88,0.0,0.0,07/01/2023
"GIGLIO, DAVID ANTHONY",REP,CHALLENGER,44199.32,44199.32,0.0,0.0,03/16/2024,1835 ASHLAN AVENUE,STE 104,CLOVIS,CA,93611,32700.0,6499.02,39199.02,5000.0,0.0,0.0,44199.02,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,44199.32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44199.02,44199.02,0.0,0.0,10/01/2023
"CLANCY, MIKE",REP,OPEN,1060361.03,794486.63,265874.4,650000.0,10/16/2024,21010 SOUTH BANK ST STE 106,#1005,STERLING,VA,20165,352531.64,33301.62,385833.26,12775.0,0.0,9252.77,407861.03,0.0,650000.0,0.0,650000.0,2500.0,0.0,0.0,0.0,788551.28,0,0.0,0.0,0.0,0.0,0.0,5935.35,0.0,0.0,5935.35,0.0,401925.68,786051.28,0.0,0.0,10/01/2023
"COULOMBE, CHRIS MR",REP,CHALLENGER,118255.61,118161.84,479.84,26961.45,10/16/2024,422 LARKFIELD CTR,#141,SANTA ROSA,CA,95403,80302.6,21373.73,101676.33,0.0,458.5,0.0,102134.83,590.0,11850.0,0.0,11850.0,3560.78,0.0,0.0,120.0,114986.84,0,0.0,250.0,2800.0,0.0,2800.0,0.0,0.0,0.0,0.0,125.0,102134.83,111426.06,386.07,0.0,01/01/2023
"CONYEARS-ERVIN, MELISSA",DEM,CHALLENGER,738802.61,729655.57,9147.04,0.0,09/30/2024,2622 W JACKSON BLVD,STE 200,CHICAGO,IL,60612,705850.0,18130.66,723980.66,12750.0,0.0,0.0,736730.66,0.0,0.0,0.0,0.0,50.0,0.0,0.0,2021.95,694355.57,0,0.0,0.0,0.0,0.0,0.0,34300.0,0.0,0.0,34300.0,1000.0,702430.66,694305.57,0.0,0.0,04/01/2023
"CAMMACK, KAT",REP,INCUMBENT,2516371.01,1770959.6,784813.74,0.0,10/16/2024,5200 NW 43RD ST,SUITE 102-180,GAINESVILLE,FL,32606,890548.5,399512.88,1290061.38,906700.02,0.0,0.0,2196761.4,312640.86,0.0,0.0,0.0,5862.23,0.0,0.0,1106.52,1599335.19,0,0.0,5000.0,0.0,0.0,0.0,9595.84,0.0,-2500.0,7095.84,159528.57,2189665.56,1593472.96,39402.33,0.0,01/01/2023
"PAULINA LUNA, ANNA",REP,INCUMBENT,3079702.59,2849850.39,274688.44,0.0,10/16/2024,1201 GANDY BLVD N,P.O. BOX 23064,SAINT PETERSBURG,FL,337428001,1034348.26,1250657.08,2285005.34,217074.0,0.0,0.0,2502079.34,563850.61,0.0,0.0,0.0,13772.64,0.0,0.0,0.0,2551648.7,0,0.0,1664.21,0.0,0.0,0.0,11537.48,0.0,0.0,11537.48,285000.0,2490541.86,2537876.06,44836.24,0.0,01/01/2023
"HARRIS, SHAWN",DEM,CHALLENGER,2776585.99,2091735.84,639563.84,0.0,10/16/2024,P.O. BOX 1688,145 WEST AVE,CEDARTOWN,GA,30125,657806.16,2105779.83,2763585.99,13000.0,0.0,0.0,2776585.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048285.84,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43450.0,2776585.99,2048285.84,0.0,0.0,08/08/2023
"RICE, MARK",REP,CHALLENGER,277584.4,141497.41,136086.99,152350.0,10/16/2024,363 E. WACKER DR,2508,CHICAGO,IL,60601,95827.4,28907.0,124734.4,500.0,0.0,0.0,125234.4,0.0,152350.0,0.0,152350.0,0.0,0.0,0.0,0.0,141497.41,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125234.4,141497.41,0.0,0.0,10/01/2023
"RILEY, CHERYL",REP,CHALLENGER,11573.76,8604.75,2969.01,0.0,10/16/2024,10101 GROSVENOR PLACE,UNIT 307,ROCKVILLE,MD,20852,1813.13,1256.91,3070.04,8503.72,0.0,0.0,11573.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8604.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11573.76,8604.75,0.0,0.0,01/01/2024
"KENNEDY, MIKE",REP,OPEN,920406.22,680101.19,240305.03,315279.48,10/16/2024,55 N MERCHANT STREET,#1324,AMERICAN FORK,UT,84003,502142.69,11913.53,514056.22,223100.0,5000.0,0.0,742156.22,0.0,176000.0,0.0,176000.0,2250.0,0.0,0.0,0.0,678780.84,0,0.0,0.0,0.0,0.0,0.0,160.35,0.0,1000.0,1160.35,160.0,740995.87,676530.84,0.0,0.0,01/01/2024
"LOU, BRUCE C",REP,CHALLENGER,194778.95,186273.49,8505.46,110607.17,10/16/2024,100 VAN NESS AVENUE,APT 2813,SAN FRANCISCO,CA,94102,59102.51,30786.86,89889.37,3300.0,0.0,35.0,93224.37,0.0,87170.0,12845.0,100015.0,1539.25,0.0,0.0,0.33,178726.78,0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,500.0,7046.71,92724.37,177187.53,0.0,0.0,01/01/2023
"SIMON, LATEEFAH",DEM,OPEN,2017794.52,1533840.15,483954.37,0.0,10/16/2024,1714 FRANKLIN ST,#100 - 438,OAKLAND,CA,94612,1575677.44,208071.95,1783749.39,231024.0,0.0,0.0,2014773.39,0.0,0.0,0.0,0.0,3021.13,0.0,0.0,0.0,1493987.86,0,0.0,0.0,0.0,0.0,0.0,22323.01,0.0,500.0,22823.01,17029.28,1991950.38,1490966.73,0.0,0.0,02/28/2023
