Cand_Name,Cand_Party_Affiliation,Cand_Incumbent_Challenger_Open_Seat,Total_Receipt,Total_Disbursement,Cash_On_Hand_COP,Debt_Owed_By_Committee,Coverage_End_Date,Cand_Street_1,Cand_Street_2,Cand_City,Cand_State,Cand_Zip,Individual_Itemized_Contribution,Individual_Unitemized_Contribution,Individual_Contribution,Other_Committee_Contribution,Party_Committee_Contribution,Cand_Contribution,Total_Contribution,Transfer_From_Other_Auth_Committee,Cand_Loan,Other_Loan,Total_Loan,Offsets_To_Operating_Expenditure,Offsets_To_Fundraising,Offsets_To_Leagal_Accounting,Other_Receipts,Operating_Expenditure,Exempt_Legal_Accounting_Disbursement,Fundraising_Disbursement,Transfer_To_Other_Auth_Committee,Cand_Loan_Repayment,Other_Loan_Repayment,Total_Loan_Repayment,Individual_Refund,Party_Committee_Refund,Other_Committee_Refund,Total_Contribution_Refund,Other_Disbursements,Net_Contribution,Net_Operating_Expenditure,Cash_On_Hand_BOP,Debt_Owe_To_Committee,Coverage_Start_Date
"EPPERSON, DALILA",REP,CHALLENGER,700,915.41,0,1468.84,06/14/2023,15166 BRECKINRIDGE AVE.,,EAST GARRISON,CA,93933,0,0,0,0,0,0,0,0,700,0,700,0,0,0,0,659.25,0,0,0,256.16,0,256.16,0,0,0,0,0,0,659.25,215.41,0,01/01/2023
"SONNENBERG, JERRY",REP,OPEN,356932.23,356932.23,0,0,09/30/2024,17011 LINCOLN AVENUE #472,,PARKER,CO,80134,292495.94,9785.36,302281.3,43900,0,10750.93,356932.23,0,0,0,0,0,0,0,0,309544.27,0,0,0,0,0,0,40687.96,0,6700,47387.96,0,309544.27,309544.27,0,0,10/01/2023
"JOHNSTON, CLAYTON",REP,,0,0,0,0,,7312 LAKESIDE OAK COURT,,PENSACOLA,FL,32526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"BARVE, GARY",REP,CHALLENGER,9516.64,9531.64,0,0,07/13/2023,21 WESTIE WAY,APT 203,FREDERICKSBURG,VA,22406,7851.65,260.64,8112.29,0,0,0,8112.29,1404.35,0,0,0,0,0,0,0,5901.11,0,0,0,0,0,0,2950.18,0,0,2950.18,680.35,5162.11,5901.11,15,0,08/29/2022
"ODDO, JOSEPH",OTH,CHALLENGER,0,0,0,0,,128 SALINA LANE,,GOOSE CREEK,SC,29445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"KIM, YOUNG",REP,INCUMBENT,8438946.6,6015654.88,2822770.3,103839.69,10/16/2024,PO BOX 17490,,ANAHEIM,CA,92817,3401072.61,1983623.31,5384695.92,2022570.66,10000,0,7417266.58,966166.35,0,0,0,18514.05,0,0,36999.62,5376449.64,0,0,10000,0,0,0,139038.24,0,2400,141438.24,487767,7275828.34,5357935.59,399478.58,0,01/01/2023
"JACOBS, SARA",DEM,INCUMBENT,1675479.58,1594010.02,171496.84,350000,10/16/2024,P.O. BOX 120085,,SAN DIEGO,CA,92112,370833.8,124016.56,494850.36,234855.85,0,407656.58,1137362.79,175800,350000,0,350000,12316.79,0,0,0,1066395.17,0,0,0,0,0,0,5883.52,0,3000,8883.52,518731.33,1128479.27,1054078.38,90027.28,0,01/01/2023
"HIMES, JIM",DEM,INCUMBENT,1946176.41,1413964.62,2191510.59,0,10/16/2024,857 POST ROAD,#312,FAIRFIELD,CT,6824,780689.96,88771.78,869461.74,950000,0,0,1819461.74,0,0,0,0,339.78,0,0,126374.89,714291.03,0,0,0,0,0,0,425,0,4000,4425,695248.59,1815036.74,713951.25,1659298.8,0,01/01/2023
"MCBATH, LUCIA KAY MS.",DEM,INCUMBENT,2326662.76,1711731.15,1349235.07,0,10/16/2024,2221 PEACHTREE RD NE,STE D-405,ATLANTA,GA,30309,1361422.17,343547.04,1704969.21,601954.93,31.3,0,2306955.44,15670.69,0,0,0,2120.53,0,0,1916.1,1630154.65,0,0,0,0,0,0,18027.5,0,0,18027.5,63549,2288927.94,1628034.12,734303.46,0,01/01/2023
"SHEEHY, TIM",REP,CHALLENGER,26161679.85,22284629.69,3877050.16,2450000,10/16/2024,PO BOX 7209,,HELENA,MT,59604,12088351.27,7086194.19,19174545.46,883562,63108.77,152762.39,20273978.62,2793487.27,2450000,0,2450000,604.62,0,0,643609.34,21091639.73,0,0,339932.38,0,0,0,321058.19,4108.77,100,325266.96,521560,19948711.66,21097265.73,0,0,01/01/2023
"DOMENICI, NELLA LOUISE LOUISE",REP,CHALLENGER,5865498.93,5693679.21,171819.72,2250000,10/16/2024,P.O. BOX 90574,,ALBUQUERQUE,NM,87199,1545223.32,497376.06,2042599.38,213850,52800,3980.32,2313229.7,1292174.12,2260000,0,2260000,95.11,0,0,0,5666471.14,0,0,0,10000,0,10000,16208.07,0,1000,17208.07,0,2296021.63,5666376.03,0,0,01/01/2024
"ROGERS, TIM",REP,CHALLENGER,0,0,0,0,,PO BOX 91385,,MILWAUKEE,WI,53209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"FETAYA, ALAIN",W,,0,0,0,0,,13210 HILLSIDE AVENUE,,RICHMOND HILL,NY,11418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"WEST, DESTINY DRAKE",DEM,OPEN,15880.35,16091.58,63.77,0,06/30/2024,13536 SANDERLING PLACE,,GERMANTOWN,MD,20874,8741.48,7138.87,15880.35,0,0,0,15880.35,0,0,0,0,0,0,0,0,16091.58,0,0,0,0,0,0,0,0,0,0,0,15880.35,16091.58,275,0,07/01/2023
"BRASCH, MAUREEN THE",REP,CHALLENGER,0,0,0,0,,1010 SIGNAL POINTE,,ALPHARETTA,GA,30005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"TOYOS, ISAAC",DEM,CHALLENGER,0,0,0,0,,6906 BERKSHIRE DR,,TEMPLE HILLS,MD,20748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"IROHA, CELESTE CHIZOBA MISS",DEM,CHALLENGER,0,0,0,0,,14138 CASTLE BLVD APT 303,,SILVER SPRING,MD,20904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"COLLINS, KINA",DEM,CHALLENGER,860648.28,860672.8,-24.52,0,06/30/2024,433 W HARRISON ST,PO BOX 805926,CHICAGO,IL,60699,463477.21,395421.07,858898.28,1750,0,0,860648.28,0,0,0,0,0,0,0,0,860672.8,0,0,0,0,0,0,0,0,0,0,0,860648.28,860672.8,0,0,07/01/2023
"KENT, JOSEPH",REP,CHALLENGER,2374224.26,2123413.77,297663.2,205000,10/16/2024,PO BOX 2133,,BATTLE GROUND,WA,98604,220391.19,84378.23,304769.42,160400,6542.86,0,471712.28,1862369.27,0,0,0,39852.71,0,0,290,1946417.42,0,0,26472.34,0,0,0,18016.68,0,5851.23,23867.91,126656.1,447844.37,1906564.71,52906.19,0,01/01/2023
"BUCHER, GRANT MR.",REP,OPEN,105164.65,105271.71,0,1000,09/30/2024,160 LN 755 B SNOW LAKE,,FREMONT,IN,46737,81609.17,8336.59,89945.76,0,0,6333.73,96279.49,0,8885.16,0,8885.16,0,0,0,0,92071.71,0,0,0,0,0,0,13200,0,0,13200,0,83079.49,92071.71,0,0,07/01/2023
"JOHNSON, BERNARD",LIB,CHALLENGER,5401.12,5436,-34.88,0,10/16/2024,2701 NONESUCH ROAD,UNIT 2107,ABILENE,TX,79606,873.12,0,873.12,0,0,4528,5401.12,0,0,0,0,0,0,0,0,5436,0,0,0,0,0,0,0,0,0,0,0,5401.12,5436,0,0,07/01/2024
"JOHNSON, BRIAN KEITH",DEM,CHALLENGER,0,0,0,0,,1300 PEBBLE RIDGE LANE,1300,HAMPTON,GA,30228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"MARKLAND, MONTGOMERY",GOP,OPEN,0,0,0,0,,4000 S BROADWAY AVE,3310,FLOWER MOUND,TX,75028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"BAUGH, SCOTT",REP,OPEN,4134242.83,3138443.23,1006485.81,80000,10/16/2024,4040 MACARTHUR BOULEVARD,SUITE 200,NEWPORT BEACH,CA,92660,2711339.09,80339.97,2791679.06,851886,5000,6600,3655165.06,419621.35,30000,0,30000,2694.53,0,0,26761.89,3077167.99,0,0,0,0,0,0,44075.24,0,0,44075.24,17200,3611089.82,3074473.46,10686.21,0,01/01/2023
"EHR, PHILLIP",DEM,CHALLENGER,1144213.37,1113446.33,34126.66,285248.65,10/16/2024,PO BOX 33079,,WASHINGTON,DC,20033,585342.21,488345.97,1073688.18,0,0,17436.27,1091124.45,0,53000,0,53000,88.92,0,0,0,1073317.33,0,0,0,0,0,0,40129,0,0,40129,0,1050995.45,1073228.41,0,0,07/01/2023
"MUCARSEL-POWELL, DEBBIE",DEM,CHALLENGER,31410998.77,29719084.95,1691913.82,297205.75,10/16/2024,PO BOX 432250,,SOUTH MIAMI,FL,33243,15406562.1,14381171.94,29787734.04,734675.88,58050,0,30580459.92,818172.5,0,0,0,12366.35,0,0,0,29481054.78,0,0,0,0,0,0,216087.12,0,0,216087.12,21943.05,30364372.8,29468688.43,0,0,08/22/2023
"ABDULLAHI, FUAD",AIP,CHALLENGER,0,0,0,0,,PO BOX 4002,,FEDERAL WAY,WA,98063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"TILLINGHAST, MICHAEL",DEM,CHALLENGER,0,0,0,0,,144 SUMTER ST,,PROVIDENCE,RI,2907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"ROSALES, MIKE",DTS,CHALLENGER,0,0,0,0,,105 VIRGINIA AVE,,ALAMOGORDO,NM,88310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"WELTON, ROGER",AIC,CHALLENGER,0,0,0,0,,7217 BROAD ST,,PARSONSBURG,MD,21849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"WILKERSON, STEPHEN PARSON",REP,CHALLENGER,0,0,0,0,,111 SOLSTICE STREET,,FOUNTAIN INN,SC,29644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"SIGMON, MICHAEL",PRO,CHALLENGER,0,0,0,0,,100 DAVIDSON AVE,,CHARLESTON,WV,25306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"WILCZYNSKI, DANIEL VINCENT",REP,CHALLENGER,263803.07,243740.12,20062.95,0,09/30/2023,502 E PERRY ST,,WALBRIDGE,OH,43465,106900,3291,110191,0,0,153612.07,263803.07,0,0,0,0,0,0,0,0,81898.31,0,0,0,0,0,0,152291,0,0,152291,9550.81,111512.07,81898.31,0,0,01/01/2023
"JANOSKY, LOREN CHARLES MR",AMP,CHALLENGER,0,0,0,0,,HOMELESS,,NASHVILLE,TN,37211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"BAIRD, JAMES R DR.",REP,INCUMBENT,560301.03,684832.2,216210.98,210000,10/16/2024,PO BOX 203,,GREENCASTLE,IN,46235,70097.95,37746.37,107844.32,251600,155.75,0,359600.07,0,200000,0,200000,700.96,0,0,0,458082.3,0,0,0,160000,0,160000,1000,0,1500,2500,64249.9,357100.07,457381.34,340742.15,0,01/01/2023
"DAVIDS, SHARICE",DEM,INCUMBENT,5580290.76,4887997.9,755916.1,0,10/16/2024,5418 CAENEN ST.,,SHAWNEE,KS,66216,3157635.34,870872.83,4028508.17,1412315.06,11372.42,0,5452195.65,120600,0,0,0,7495.11,0,0,0,4659586.15,0,0,0,0,0,0,43383.91,0,5000,48383.91,180027.84,5403811.74,4652091.04,63623.24,0,01/01/2023
"FARMS, WILLIAM",IND,OPEN,0,0,0,0,,89525 LOCKMAN RD,,JEWETT,OH,43986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"GUTHRIE, S. BRETT HON.",REP,INCUMBENT,3590429.77,4826749.25,742225.28,15335.63,10/16/2024,P.O. BOX 22401,,LOUISVILLE,KY,40252,891704.03,37714.49,929418.52,2651855.87,0,0,3581274.39,0,0,0,0,0,0,0,9155.38,1802885.59,0,0,0,0,0,0,9100.01,0,3500,12600.01,2937500,3568674.38,1872649.24,1864119.81,0,01/01/2023
"GOLDEN, JARED",DEM,INCUMBENT,7062983.37,6021871.49,1075802.14,0,10/16/2024,PO BOX 7108,,LEWISTON,ME,4240,4743054.08,1002289.3,5745343.38,838401,5348.55,0,6589092.93,455144.8,0,0,0,18517.7,0,0,227.94,5829870.25,0,0,0,0,0,0,155712.09,0,3000,158712.09,33289.15,6430380.84,5811352.55,34690.26,0,01/01/2023
"COOPER, JIMMY",IND,CHALLENGER,0,0,0,0,,3388 CAUSEY ROAD,,LIZELLA,GA,31052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"PINKINS, TY",DEM,CHALLENGER,919320.91,900655.6,18813.33,0,10/16/2024,125 MEMORY LN,,VICKSBURG,MS,39180,245374.34,672146.57,917520.91,1600,200,0,919320.91,0,0,0,0,0,0,0,0,891383.91,0,0,4035,0,0,0,3022.94,0,0,3022.94,2213.75,916297.97,891383.91,148.02,0,01/01/2023
"AKHLAGHY, NADER DR",REP,CHALLENGER,0,0,0,0,,67 WALLST,,NEW YORK,NY,10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"MURPHY, MICHAEL A",REP,CHALLENGER,4032,4055.7,0,0,12/20/2023,3882 EDITH LANE,,LEXINGTON,MN,55025,2500,1432,3932,0,0,100,4032,0,0,0,0,0,0,0,0,1530.7,0,0,0,0,0,0,2525,0,0,2525,0,1507,1530.7,0,0,01/01/2023
"MACAULEY, JAMES 'JIM'",REP,OPEN,0,0,0,0,,PO BOX 7094,,CITRUS HEIGHTS,CA,95621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"FARMS, WILLIAM",IND,OPEN,0,0,0,0,,89525 LOCKMAN RD,,JEWETT,OH,43986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"FLOWERS, MARCUS",DEM,CHALLENGER,0,0,0,0,,PO BOX 171,,BREMEN,GA,30110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"VEPRAUSKAS, MARTIN",REP,OPEN,0,0,0,0,,PO BOX 21801,,EL CAJON,CA,92021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"JONES, FORREST",OTH,OPEN,0,0,0,0,,36645 ROAD 196,,WOODLAKE,CA,93286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"GARZA, LAURA",NOP,OPEN,0,0,0,0,,2826 SOUTH VERMONT AVE,SUITE 1,LOS ANGELES,CA,90007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"DILGER, MICHAEL JOSEPH",W,OPEN,0,0,0,0,,321 SOUTH SUNRISE WAY,SUITE A4,PALM SPRINGS,CA,92262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"DOWELL, JOHN",W,OPEN,0,0,0,0,,524 A BROOKS,SUITE A,OCEANSIDE,CA,92054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"BANKS, JAMES E. HON.",REP,OPEN,6830270.36,5156506.41,3009247.36,27052.41,10/16/2024,PO BOX 11431,,FORT WAYNE,IN,46858,3089867.9,1114463.12,4204331.02,1346631.01,850,0,5551812.03,1218559.03,0,0,0,0,0,0,59899.3,4658344.09,0,0,51613.17,0,0,0,157027.93,0,-50,156977.93,289560.8,5394834.1,4658354.51,1335483.41,0,01/01/2023
"ALSOBROOKS, ANGELA",DEM,OPEN,28461432.05,25775998.14,2685433.91,308415.3,10/16/2024,1101 MERCANTILE LN STE 100,,UPPER MARLBORO,MD,20774,14517690.82,7277514.53,21795205.35,1065423.08,58400,0,22919028.43,5492365.5,0,0,0,15425.75,0,0,34612.37,25383043.26,0,0,0,0,0,0,363455.88,0,18399,381854.88,11100,22537173.55,25367617.51,0,0,05/01/2023
"HORN, KANDY KAYE BSS.",REP,CHALLENGER,0,0,0,0,09/30/2023,303 SOUTH CENTER STREET,,FORNEY,TX,75126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/01/2023
"SHIOURA, HILAIRE FUJI",OTH,CHALLENGER,0,0,0,0,,1162 DAWNRIDGE AVE,,EL CAJON,CA,92021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"SHUPE, LEWIS",IND,CHALLENGER,0,0,0,0,,1101 HAMILTON STREET,SUITE 158A,ALLENTOWN,PA,18101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"PAWLOSKI, JOHN CHARLES JR JR",AIP,CHALLENGER,0,0,0,0,,18321 DARDEN SCOUT RD,,COURTLAND,VA,23837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"AKERS, BIKERBOB MR.",IND,CHALLENGER,0,0,0,0,,PO BOX 141,,FREELAND,WA,98249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"MAZUR, STEVE",IND,CHALLENGER,0,0,0,0,,2079 HIGHWAY 790,,BRONSTON,KY,42518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"PAYNE, ANGELINE L MRS.",OTH,CHALLENGER,25617,10253,13997,0,03/31/2024,4585 SPRING VALLEY PKWY,,ATLANTA,GA,30349,14509,1013,15522,7969,0,2126,25617,0,0,0,0,0,0,0,0,8133,0,2120,0,0,0,0,0,0,0,0,0,16459,10879,287,0,01/01/2023
"FUGATE, DEMETRIUS (D.B.) BURNS",REP,CHALLENGER,0,0,0,0,,13650 NW 4TH ST,APT 305,PEMBROKE PINES,FL,33028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"SCHULTZ, FREDERIC CHARLES MR. J.D.",UN,CHALLENGER,0,0,0,0,,7050 CAMINITO DONOSO,,SAN DIEGO,CA,92037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"CUNNINGHAM, CANDACE L",AIP,OPEN,0,0,0,0,,5959 W GREENWAY RD,288,GLENDALE,AZ,85306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"COMPTON, WILLIAM DAKOTA",DEM,CHALLENGER,5119.12,5459.6,395.89,0,09/30/2024,720 N. GRAHAM STREET,,BOWLING GREEN,KY,42101,300,3737.6,4037.6,0,0,1081.52,5119.12,0,0,0,0,0,0,0,0,5459.6,0,0,0,0,0,0,0,0,0,0,0,5119.12,5459.6,0,0,01/01/2023
"MONROE, KATE M",REP,CHALLENGER,424349.12,424339.04,10.08,105929.45,09/30/2024,3516 VOYAGER CIRCLE,,SAN DIEGO,CA,92130,71215.04,45272.89,116487.93,105,0,0,116592.93,2970,303000,0,303000,1786.19,0,0,0,155331.23,0,0,0,261500,0,261500,4282.81,0,0,4282.81,3225,112310.12,153545.04,0,0,01/01/2023
"GILLARD, ADAM JOSEPH",DEM,OPEN,13720.01,13720.01,0,0,09/30/2024,5231 BRADY RD,,COLORADO SPRINGS,CO,80915,4174.35,2660,6834.35,0,0,6885.66,13720.01,0,0,0,0,0,0,0,0,13720.01,0,0,0,0,0,0,0,0,0,0,0,13720.01,13720.01,0,0,10/01/2023
"BEAMON, CAMERON",IND,CHALLENGER,0,0,0,0,,605 W 40TH PL,,HOBART,IN,46342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"WIZARD, HARVEY",DEM,CHALLENGER,0,0,0,0,,"7969 NW 2ND STREET, SUITE 476",,MIAMI,FL,33126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"FUGATE, DEMETRIUS (D.B.) BURNS",REP,CHALLENGER,0,0,0,0,,13650 NW 4TH ST,APT 305,PEMBROKE PINES,FL,33028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"TOULME, ALIX CHRISTOPHER MR. JR.",OTH,CHALLENGER,0,0,0,0,,4700 N. HABANA AVENUE,,TAMPA,FL,33614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"DENMAN, PATRICK MR",NNE,CHALLENGER,0,0,0,0,,35 LANSING ST,1,AUBURN,NY,13021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"LEIV, MATTHEW",REP,CHALLENGER,63209.62,62433.09,776.53,0,09/30/2023,PO BOX 959,,PLAINFIELD,IL,60544,24963,3173,28136,0,0,35073.62,63209.62,0,0,0,0,0,0,0,0,62183.09,0,0,0,0,0,0,250,0,0,250,0,62959.62,62183.09,0,0,01/01/2023
"JACKSON, DANIEL LAFAVIEN",DEM,CHALLENGER,0,0,0,0,03/31/2023,5067 GRANDE PARK,,EVANS,GA,30809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/2023
"MCQUEEN, ELDON DANIEL",IDP,CHALLENGER,0,0,0,0,07/14/2023,110 E HOUSTON ST,7TH FLOOR,SAN ANTONIO,MO,78205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/01/2023
"GREENE, CLIFFORD MARK",REP,CHALLENGER,0,0,0,0,,P.O.B. 4201,,FEDERAL WAY,WA,98063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"FARBER, STUART ROSS",DEM,CHALLENGER,0,0,0,0,,8906 JONATHAN MANOR DRIVE,,ORLANDO,FL,32819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
